"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"5620";"«АЗЛК и ВНИПП», 2-я улица Машиностроения (от центра) (1)";"37.6903500426981";"55.7178623973861";"2-я улица Машиностроения";"Юго-Восточный административный округ";"район Печатники";"А633; Тб38; А159";"АЗЛК и ВНИПП";"от центра";"нет";"";"активна";"1720476";"{type=Point, coordinates=[37.6903500426981, 55.7178623973861]}";
"6435";"«Платф. Москворечье», Каширское шоссе (от центра)";"37.6854359349061";"55.6401776033433";"Каширское шоссе";"Южный административный округ";"район Москворечье-Сабурово";"А608; А291; Тб11";"Платф. Москворечье";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720478";"{type=Point, coordinates=[37.6854359349061, 55.6401776033433]}";
"5624";"«Учебный комбинат», улица Нижние Поля (от центра)";"37.7294674265466";"55.6574762985831";"улица Нижние Поля";"Юго-Восточный административный округ";"район Люблино";"АС9; А633; Тб74; Тб50; А35";"Учебный комбинат";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720479";"{type=Point, coordinates=[37.7294674265466, 55.6574762985831]}";
"5625";"«Ул. Перерва», улица Перерва (в центр)";"37.7198109503285";"55.6537718594019";"улица Перерва";"Юго-Восточный административный округ";"район Марьино";"А657; А633";"Ул. Перерва";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720480";"{type=Point, coordinates=[37.7198109503285, 55.6537718594019]}";
"5626";"«Ул. Перерва, 6», улица Перерва (в центр)";"37.7161092826055";"55.6554524228765";"улица Перерва";"Юго-Восточный административный округ";"район Марьино";"А657; А633";"Ул. Перерва, 6";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720481";"{type=Point, coordinates=[37.7161092826055, 55.6554524228765]}";
"5627";"«Подольская ул., 1», Подольская улица (от центра)";"37.7116768276911";"55.65477427776";"Подольская улица";"Юго-Восточный административный округ";"район Марьино";"А657; А633";"Подольская ул., 1";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720482";"{type=Point, coordinates=[37.7116768276911, 55.65477427776]}";
"5628";"«Подольская ул.», Подольская улица (от центра)";"37.7089125995033";"55.6515004365026";"Подольская улица";"Юго-Восточный административный округ";"район Марьино";"А657; А633";"Подольская ул.";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720483";"{type=Point, coordinates=[37.7089125995033, 55.6515004365026]}";
"5630";"«Саратовская ул. (пос.)», Волжский бульвар (в центр)";"37.7430178636789";"55.7159472062675";"Волжский бульвар";"Юго-Восточный административный округ";"район Текстильщики";"А143; А234; А228; А861; А169К; А169; А161; А703; А736; А193; А74";"Саратовская ул. (пос.)";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720484";"{type=Point, coordinates=[37.7430178636789, 55.7159472062675]}";
"5631";"«2-й Саратовский пр.», Саратовская улица (в центр)";"37.7390046513091";"55.7154340713745";"Саратовская улица";"Юго-Восточный административный округ";"район Текстильщики";"А161; А703; А736; А193; А74";"2-й Саратовский пр.";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720485";"{type=Point, coordinates=[37.7390046513091, 55.7154340713745]}";
"5632";"«1-й Саратовский пр.», Саратовская улица (в центр)";"37.7342801058487";"55.7141946293168";"Саратовская улица";"Юго-Восточный административный округ";"район Текстильщики";"А161; А703; А736; А193; А74";"1-й Саратовский пр.";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720486";"{type=Point, coordinates=[37.7342801058487, 55.7141946293168]}";
"6482";"«Ул. Коштоянца», улица Лобачевского (от центра)";"37.4844277831731";"55.6766527099555";"улица Лобачевского";"Западный административный округ";"район Проспект Вернадского";"А793; А688; А785; А42; А120; А950; А103; АН1";"Ул. Коштоянца";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720487";"{type=Point, coordinates=[37.4844277831731, 55.6766527099555]}";
"6483";"«Акад. Труда», улица Лобачевского (в центр)";"37.4861971028355";"55.6742186526598";"улица Лобачевского";"Западный административный округ";"район Проспект Вернадского";"А688; А785; А950; А103";"Акад. Труда";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720488";"{type=Point, coordinates=[37.4861971028355, 55.6742186526598]}";
"6484";"«МГИМО», улица Лобачевского (в центр)";"37.4894402333783";"55.67235778048";"улица Лобачевского";"Западный административный округ";"район Проспект Вернадского";"А688; А785; А950; А103";"МГИМО";"в центр";"нет";"";"активна";"1720489";"{type=Point, coordinates=[37.4894402333783, 55.67235778048]}";
"5833";"«Театр Мюзикла», Новозаводская улица (от центра)";"37.4980649509246";"55.7529681599918";"Новозаводская улица";"Западный административный округ";"район Филёвский Парк";"А116; А653; А69; А109";"Театр Мюзикла";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720490";"{type=Point, coordinates=[37.4980649509246, 55.7529681599918]}";
"6486";"«Метро Юго-Западная (выс.)», проспект Вернадского (от центра) (2)";"37.4840706199555";"55.6653971398573";"проспект Вернадского";"Западный административный округ";"район Тропарёво-Никулино";"А227";"Метро Юго-Западная (выс.)";"от центра";"нет";"";"активна";"1720491";"{type=Point, coordinates=[37.4840706199555, 55.6653971398573]}";
"6487";"«Ул. Лобачевского», улица Лобачевского (от центра)";"37.493764094535";"55.6711650692386";"улица Лобачевского";"Западный административный округ";"район Проспект Вернадского";"А793; АБН; А688; А785; А715; А616; А950; А103";"Ул. Лобачевского";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720492";"{type=Point, coordinates=[37.493764094535, 55.6711650692386]}";
"6488";"«МГИМО», улица Лобачевского (от центра) (1)";"37.489154150335";"55.6728176104198";"улица Лобачевского";"Западный административный округ";"район Проспект Вернадского";"А793; А830; АБН; А688; А785; А810; А715; А616; А950; А103";"МГИМО";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720493";"{type=Point, coordinates=[37.489154150335, 55.6728176104198]}";
"6489";"«Акад. Труда», улица Лобачевского (от центра) (1)";"37.4867840397291";"55.6741946070291";"улица Лобачевского";"Западный административный округ";"район Проспект Вернадского";"А793; А830; АБН; А688; А785; А810; А715; А616; А950; А103";"Акад. Труда";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720494";"{type=Point, coordinates=[37.4867840397291, 55.6741946070291]}";
"6490";"«Ул. Коштоянца», улица Лобачевского (в центр) (1)";"37.4838925526064";"55.6765999020718";"улица Лобачевского";"Западный административный округ";"район Проспект Вернадского";"А688; А785; А950; А103";"Ул. Коштоянца";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720495";"{type=Point, coordinates=[37.4838925526064, 55.6765999020718]}";
"6491";"«Ул. Воронцовские Пруды», улица Новаторов (в центр)";"37.5250048908057";"55.6682196425448";"улица Новаторов";"Юго-Западный административный округ";"Обручевский район";"А661; А363; А816";"Ул. Воронцовские Пруды";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720496";"{type=Point, coordinates=[37.5250048908057, 55.6682196425448]}";
"6492";"«Ул. Удальцова», улица Новаторов (в центр)";"37.5209120766411";"55.6705885379219";"улица Новаторов";"Юго-Западный административный округ";"Обручевский район";"А661; А363; А816";"Ул. Удальцова";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720497";"{type=Point, coordinates=[37.5209120766411, 55.6705885379219]}";
"6493";"«Ленинский просп.», улица Удальцова (от центра)";"37.5191322992222";"55.6714332251787";"улица Удальцова";"Западный административный округ";"район Проспект Вернадского";"А153; А246; А661; А363; А816";"Ленинский просп.";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720498";"{type=Point, coordinates=[37.5191322992222, 55.6714332251787]}";
"5931";"«Марьинский рынок», улица Перерва (от центра) (1)";"37.7222043240762";"55.6525274648972";"улица Перерва";"Юго-Восточный административный округ";"район Марьино";"А657; АС9; А55; А646";"Марьинский рынок";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720499";"{type=Point, coordinates=[37.7222043240762, 55.6525274648972]}";
"5932";"«Марьинский рынок», улица Перерва (в центр)";"37.7221075383741";"55.6527912192131";"улица Перерва";"Юго-Восточный административный округ";"район Марьино";"А657";"Марьинский рынок";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720500";"{type=Point, coordinates=[37.722107568733, 55.652790850235]}";
"5933";"«Ул. Марш. Голованова», улица Маршала Голованова (от центра)";"37.7264709832936";"55.650367330161";"улица Маршала Голованова";"Юго-Восточный административный округ";"район Марьино";"А55";"Ул. Марш. Голованова";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720501";"{type=Point, coordinates=[37.726471013945, 55.650366960873]}";
"5512";"«Никитские ворота - ТАСС», Тверской бульвар (в центр) (1)";"37.5981564793461";"55.7581881279919";"Тверской бульвар";"Центральный административный округ";"Пресненский район";"АА; А15";"Никитские ворота - ТАСС";"в центр";"да";"ООО «Праймсайт»";"активна";"1720502";"{type=Point, coordinates=[37.5981564793461, 55.7581881279919]}";
"5937";"«Батайский пр., 3 (пос.)», Батайский проезд (от центра)";"37.7106866543306";"55.6425170949294";"Батайский проезд";"Юго-Восточный административный округ";"район Марьино";"А762; А646";"Батайский пр., 3 (пос.)";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720503";"{type=Point, coordinates=[37.7106866543306, 55.6425170949294]}";
"5938";"«Батайский пр., 5», Батайский проезд (от центра)";"37.7152605898421";"55.6422153136342";"Батайский проезд";"Юго-Восточный административный округ";"район Марьино";"А762; А646";"Батайский пр., 5";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720504";"{type=Point, coordinates=[37.7152605898421, 55.6422153136342]}";
"5939";"«Школа № 1141», Батайский проезд (от центра)";"37.7197043374586";"55.6425823981975";"Батайский проезд";"Юго-Восточный административный округ";"район Марьино";"А762; А646";"Школа № 1141";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720505";"{type=Point, coordinates=[37.7197043374586, 55.6425823981975]}";
"5940";"«Батайский пр.», Батайский проезд (от центра)";"37.7259220332186";"55.6431327359145";"Батайский проезд";"Юго-Восточный административный округ";"район Марьино";"А762; А646";"Батайский пр.";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720506";"{type=Point, coordinates=[37.7259220332186, 55.6431327359145]}";
"5941";"«Батайский пр.», Батайский проезд (в центр)";"37.7264938812732";"55.6433246099857";"Батайский проезд";"Юго-Восточный административный округ";"район Марьино";"А762; А646";"Батайский пр.";"в центр";"нет";"";"активна";"1720507";"{type=Point, coordinates=[37.7264938812732, 55.6433246099857]}";
"5942";"«Школа № 1141», Батайский проезд (в центр)";"37.7191250516907";"55.6427033481727";"Батайский проезд";"Юго-Восточный административный округ";"район Марьино";"А762; А646";"Школа № 1141";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1720508";"{type=Point, coordinates=[37.7191250516907, 55.6427033481727]}";
"5946";"«Муз. школа», улица Фёдора Полетаева (от центра)";"37.7783494294704";"55.7117346314035";"улица Фёдора Полетаева";"Юго-Восточный административный округ";"район Кузьминки";"А159";"Муз. школа";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1720510";"{type=Point, coordinates=[37.778349459192, 55.711734262268]}";
